address,name,area,floor
2045,두정역이안더센트럴,114.946,9
2045,두정역이안더센트럴,84.975,19
2045,두정역이안더센트럴,84.975,12
2045,두정역이안더센트럴,114.946,6
2045,두정역이안더센트럴,84.966,4
2045,두정역이안더센트럴,102.503,16
2045,두정역이안더센트럴,114.946,18
2045,두정역이안더센트럴,114.946,2
2045,두정역이안더센트럴,114.946,5
2056,두정역코아루스위트,84.9345,4
2056,두정역코아루스위트,127.1148,17
2056,두정역코아루스위트,84.9523,5
2056,두정역코아루스위트,99.9727,7
2056,두정역코아루스위트,110.908,6
2056,두정역코아루스위트,127.1148,6
2056,두정역코아루스위트,84.9345,22
2056,두정역코아루스위트,99.9727,3
2056,두정역코아루스위트,84.8198,2
2056,두정역코아루스위트,99.8912,3
2056,두정역코아루스위트,99.8942,15
2056,두정역코아루스위트,84.9523,11
2056,두정역코아루스위트,127.1148,7
2056,두정역코아루스위트,99.8942,19
2056,두정역코아루스위트,99.9727,19
2056,두정역코아루스위트,110.908,11
2056,두정역코아루스위트,84.8198,18
2056,두정역코아루스위트,99.8942,11
2056,두정역코아루스위트,84.8389,5
2056,두정역코아루스위트,84.9345,7
2056,두정역코아루스위트,99.8912,13
2056,두정역코아루스위트,84.8389,18
2056,두정역코아루스위트,99.8942,5
2056,두정역코아루스위트,84.9345,3
2056,두정역코아루스위트,84.8198,5
2056,두정역코아루스위트,99.8912,11
2056,두정역코아루스위트,99.9727,22
2056,두정역코아루스위트,99.9727,23
2056,두정역코아루스위트,84.9523,1
2056,두정역코아루스위트,84.9345,16
2056,두정역코아루스위트,110.908,18
2056,두정역코아루스위트,110.908,12
2056,두정역코아루스위트,99.8912,15
2056,두정역코아루스위트,84.8198,23
2056,두정역코아루스위트,84.9345,13
2056,두정역코아루스위트,99.9727,21
2056,두정역코아루스위트,84.9345,15
2056,두정역코아루스위트,84.9523,10
2056,두정역코아루스위트,84.9345,12
2056,두정역코아루스위트,99.8912,17
2056,두정역코아루스위트,84.8198,1
2056,두정역코아루스위트,84.9523,17
1466,두정역펜타폴리스,27.285,7
1466,두정역펜타폴리스,23.975,5
1466,두정역펜타폴리스,20.005,9
1466,두정역펜타폴리스,20.255,7
1466,두정역펜타폴리스,20.005,10
1466,두정역펜타폴리스,20.255,5
1466,두정역펜타폴리스,27.285,8
1466,두정역펜타폴리스,19.435,6
1466,두정역펜타폴리스,27.285,9
1466,두정역펜타폴리스,19.435,9
1466,두정역펜타폴리스,19.435,11
1466,두정역펜타폴리스,19.435,4
1466,두정역펜타폴리스,19.435,5
