읍면동,번지,본번,부번,단지명,매매전월세구분,전용면적(㎡),계약년월,계약일,거래금액(만원),월세,층,건축년도,해제사유발생일,거래유형
두정동,1080,1080,0000,경남아너스빌(대아아이투빌-1),전세,59.5862,1,25,"        18,000",             0,5,2004,,중개거래
두정동,526-1,0526,0001,극동늘푸른,매매,59.91,1,25,"        17,500",0,3,1996,,중개거래
두정동,525-1,0525,0001,대우그린,전세,69.966,1,25,"        15,750",             0,24,1996,,중개거래
두정동,1864,1864,0000,우성,전세,59.695,1,25,"        15,000",             0,1,1996,,중개거래
두정동,1328,1328,0000,하이스타운프라임,전세,36.91,1,25,"         9,000",             0,5,2014,,중개거래
두정동,1332,1332,0000,더리치빌2,전세,38.672,1,25,"         9,000",             0,3,2013,,중개거래
두정동,666,0666,0000,두정4차푸르지오,월세,75.19,1,25,"         3,000",            65,5,2003,,중개거래
두정동,2063,2063,0000,e편한세상두정3차,월세,75.7971,1,25,"         2,000",           120,6,2017,,중개거래
두정동,526-1,0526,0001,극동늘푸른,월세,59.91,1,25,"         1,000",            85,8,1996,,중개거래
두정동,526-1,0526,0001,극동늘푸른,월세,59.91,1,25,"         1,000",            85,8,1996,,중개거래
두정동,1466,1466,0000,두정역펜타폴리스,월세,27.285,1,25,           500,            40,9,2013,,중개거래
두정동,1293,1293,0000,천안펜타폴리스2차,월세,19.47,1,25,           300,            31,4,2013,,중개거래
두정동,2055,2055,0000,이편한세상-천안두정2차,매매,84.8801,1,26,"        41,000",0,16,2013,,중개거래
두정동,2045,2045,0000,두정역이안더센트럴,전세,102.503,1,26,"        35,000",             0,20,2011,,중개거래
두정동,2037,2037,0000,두정역푸르지오,전세,75.516,1,26,"        30,000",             0,10,2009,,중개거래
두정동,605,0605,0000,세광엔리치빌3,매매,84.9932,1,26,"        26,500",0,13,2003,,중개거래
두정동,1593,1593,0000,두정3푸르지오,매매,84.9,1,26,"        24,400",0,3,2003,,중개거래
두정동,1864,1864,0000,우성,전세,59.695,1,26,"        17,500",             0,12,1996,,중개거래
두정동,1332,1332,0000,더리치빌2,월세,24.02,1,26,"         4,500",            12,4,2013,,중개거래
두정동,1293,1293,0000,천안펜타폴리스2차,매매,19.47,1,26,"         3,900",0,12,2013,,중개거래
두정동,63-6,0063,0006,두정역효성해링턴플레이스,월세,59.96,1,26,"         2,000",           120,15,2020,,중개거래
두정동,1417,1417,0000,해피드림3차,월세,39.319,1,26,"         2,000",            50,10,2016,,중개거래
두정동,63-6,0063,0006,두정역효성해링턴플레이스,매매,59.92,1,27,"        39,000",0,27,2020,,중개거래
두정동,2045,2045,0000,두정역이안더센트럴,매매,84.975,1,27,"        36,700",0,7,2011,,중개거래
두정동,1864,1864,0000,우성,매매,84.855,1,27,"        20,400",0,2,1996,405,중개거래
두정동,1293,1293,0000,천안펜타폴리스2차,매매,19.47,1,27,"         4,200",0,6,2013,,중개거래
두정동,1293,1293,0000,천안펜타폴리스2차,매매,18.11,1,27,"         4,100",0,10,2013,,직거래
두정동,1466,1466,0000,두정역펜타폴리스,매매,19.435,1,27,"         3,800",0,9,2013,,중개거래
두정동,525-1,0525,0001,대우그린,월세,59.946,1,27,"         1,000",            75,20,1996,,중개거래
두정동,1310,1310,0000,카사보니따,월세,22.99,1,27,           500,            34,5,2013,,중개거래
두정동,2037,2037,0000,두정역푸르지오,전세,84.9826,1,28,"        23,100",             0,18,2009,,중개거래
두정동,2035,2035,0000,한성필하우스3차,전세,59.9045,1,28,"        18,500",             0,12,2004,,중개거래
두정동,63-6,0063,0006,두정역효성해링턴플레이스,월세,84.97,1,28,"         3,000",           150,22,2020,,중개거래
