dong,address,par_add,sub_add,name,deal,area,month,day,acount,rent,floor,year,property,station_area
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,14,8400,24,15,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,84.92,6,14,6800,33,15,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,14,5300,25,18,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,84.92,6,15,11200,21,4,2020,직거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,15,10400,19,12,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,15,10400,19,9,2020,직거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,15,10400,19,10,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,15,10400,19,12,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,15,10400,28,20,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,15,9000,23,8,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,15,9000,23,1,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,15,9000,23,8,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,15,8800,15,24,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,15,8400,34,13,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,15,7100,20,4,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,15,7100,20,6,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,15,6300,30,20,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,16,10400,28,17,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,16,10400,28,11,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,16,10400,19,3,2020,직거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,16,10400,28,13,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,16,10400,19,12,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,16,10400,28,2,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,16,10400,19,10,2020,중개거래,
