address,name,deal,area,month,day,acount,rent,floor,property
1486,두정미소마을,매매,18.32,10,21,6600,0,3,중개거래
2045,두정역이안더센트럴,매매,84.975,1,23,36700,0,13,중개거래
2045,두정역이안더센트럴,매매,84.975,1,23,35000,0,14,중개거래
2045,두정역이안더센트럴,매매,114.946,1,25,46000,0,19,중개거래
2045,두정역이안더센트럴,매매,84.975,1,27,36700,0,7,중개거래
2045,두정역이안더센트럴,매매,84.966,1,5,35900,0,6,중개거래
2045,두정역이안더센트럴,매매,84.966,1,5,35900,0,6,중개거래
2045,두정역이안더센트럴,매매,102.503,2,10,35000,0,1,중개거래
2045,두정역이안더센트럴,매매,102.503,2,16,40400,0,19,중개거래
2045,두정역이안더센트럴,매매,84.925,2,22,33500,0,8,직거래
2045,두정역이안더센트럴,매매,84.975,2,25,33700,0,3,중개거래
2045,두정역이안더센트럴,매매,84.975,3,22,36500,0,14,직거래
2045,두정역이안더센트럴,매매,84.966,3,28,36500,0,17,중개거래
2045,두정역이안더센트럴,매매,84.925,3,30,33700,0,14,중개거래
2045,두정역이안더센트럴,매매,84.925,3,30,33700,0,14,직거래
2045,두정역이안더센트럴,매매,84.925,4,28,38000,0,23,중개거래
2045,두정역이안더센트럴,매매,84.925,4,9,34300,0,17,중개거래
2045,두정역이안더센트럴,매매,84.975,5,2,33000,0,4,중개거래
2045,두정역이안더센트럴,매매,102.503,5,20,37500,0,7,중개거래
2045,두정역이안더센트럴,매매,84.925,5,3,34500,0,13,중개거래
2045,두정역이안더센트럴,매매,84.925,5,3,34500,0,13,중개거래
2045,두정역이안더센트럴,매매,102.503,5,7,36500,0,4,중개거래
2045,두정역이안더센트럴,매매,84.975,6,22,37700,0,23,중개거래
2045,두정역이안더센트럴,매매,84.925,6,24,31000,0,1,중개거래
2045,두정역이안더센트럴,매매,84.966,6,29,36000,0,22,중개거래
2045,두정역이안더센트럴,매매,114.946,6,5,46000,0,20,중개거래
2045,두정역이안더센트럴,매매,84.975,7,15,34500,0,7,중개거래
2045,두정역이안더센트럴,매매,102.503,7,16,38900,0,22,중개거래
2045,두정역이안더센트럴,매매,102.503,7,6,36000,0,6,중개거래
2045,두정역이안더센트럴,매매,102.503,7,9,35000,0,2,중개거래
2045,두정역이안더센트럴,매매,102.503,8,29,33000,0,21,중개거래
2045,두정역이안더센트럴,매매,84.925,8,3,32800,0,12,중개거래
2045,두정역이안더센트럴,매매,84.975,9,28,32000,0,6,중개거래
2045,두정역이안더센트럴,매매,102.503,10,11,33500,0,16,중개거래
2045,두정역이안더센트럴,매매,114.946,10,15,43000,0,18,중개거래
2045,두정역이안더센트럴,매매,84.975,10,15,34500,0,23,중개거래
2045,두정역이안더센트럴,매매,114.946,10,24,39000,0,2,중개거래
