address,name,deal,area,month,day,acount,floor,property,
525-1,대우그린,전세,69.966,4,2,20000,24,중개거래,두정역
525-1,대우그린,전세,59.946,4,23,18500,24,중개거래,두정역
525-1,대우그린,전세,84.95,4,23,17325,18,중개거래,두정역
525-1,대우그린,전세,59.946,4,25,15000,16,중개거래,두정역
525-1,대우그린,전세,59.946,4,25,15000,16,중개거래,두정역
525-1,대우그린,전세,69.966,4,29,20000,4,중개거래,두정역
525-1,대우그린,전세,59.946,4,3,17000,1,중개거래,두정역
525-1,대우그린,전세,33.6,5,10,12200,23,중개거래,두정역
525-1,대우그린,전세,59.946,5,13,17000,13,중개거래,두정역
525-1,대우그린,전세,59.946,5,13,14175,24,중개거래,두정역
525-1,대우그린,전세,59.946,5,28,18000,9,중개거래,두정역
525-1,대우그린,전세,59.946,5,30,14700,16,중개거래,두정역
525-1,대우그린,전세,59.946,6,1,18000,6,직거래,두정역
525-1,대우그린,전세,69.966,6,11,14175,18,중개거래,두정역
525-1,대우그린,전세,84.95,6,22,22000,23,중개거래,두정역
525-1,대우그린,전세,84.95,6,30,20000,22,직거래,두정역
525-1,대우그린,전세,33.6,6,6,12000,21,중개거래,두정역
525-1,대우그린,전세,33.6,6,6,12000,21,중개거래,두정역
525-1,대우그린,전세,69.966,7,11,14700,11,중개거래,두정역
525-1,대우그린,전세,69.966,7,11,14700,11,중개거래,두정역
525-1,대우그린,전세,84.95,7,13,20500,18,중개거래,두정역
525-1,대우그린,전세,84.95,7,19,20000,5,중개거래,두정역
525-1,대우그린,전세,59.946,7,20,18500,24,중개거래,두정역
525-1,대우그린,전세,59.946,7,28,16500,11,중개거래,두정역
525-1,대우그린,전세,33.6,7,7,12500,3,중개거래,두정역
525-1,대우그린,전세,84.95,8,12,20700,9,중개거래,두정역
525-1,대우그린,전세,59.946,8,12,17000,21,중개거래,두정역
525-1,대우그린,전세,33.6,8,2,10500,15,중개거래,두정역
525-1,대우그린,전세,84.95,8,30,21000,25,중개거래,두정역
525-1,대우그린,전세,33.6,8,4,9920,14,중개거래,두정역
525-1,대우그린,전세,84.95,8,6,16800,6,중개거래,두정역
525-1,대우그린,전세,59.946,8,7,19000,18,중개거래,두정역
525-1,대우그린,전세,84.95,8,9,18375,7,중개거래,두정역
525-1,대우그린,전세,84.95,9,16,19500,13,중개거래,두정역
525-1,대우그린,전세,59.946,9,17,17000,13,중개거래,두정역
525-1,대우그린,전세,59.946,9,23,16800,4,중개거래,두정역
525-1,대우그린,전세,84.95,9,27,18370,16,중개거래,두정역
525-1,대우그린,전세,69.966,9,28,17000,2,중개거래,두정역
525-1,대우그린,전세,84.95,9,4,20500,13,중개거래,두정역
525-1,대우그린,전세,69.966,10,1,18500,21,중개거래,두정역
525-1,대우그린,전세,69.966,10,11,18000,8,중개거래,두정역
525-1,대우그린,전세,33.6,10,16,9800,9,중개거래,두정역
525-1,대우그린,전세,84.95,10,2,19000,22,중개거래,두정역
525-1,대우그린,전세,59.946,10,21,16000,13,중개거래,두정역
525-1,대우그린,전세,69.966,10,8,17000,18,중개거래,두정역
1898,대주파크빌(102동),전세,84.5821,5,9,14000,7,중개거래,
1898,대주파크빌(102동),전세,84.5821,6,3,19000,9,직거래,
1898,대주파크빌(102동),전세,84.5821,9,27,19000,2,중개거래,
1898,대주파크빌(102동),전세,84.5821,9,8,15500,5,중개거래,
1898,대주파크빌(102동),전세,84.5821,10,24,19000,2,중개거래,
1332,더리치빌2,전세,33.38,1,11,8000,5,중개거래,
1332,더리치빌2,전세,24.02,1,18,5800,8,중개거래,
1332,더리치빌2,전세,20.32,1,18,4700,4,중개거래,
1332,더리치빌2,전세,33.38,1,21,8000,4,중개거래,
1332,더리치빌2,전세,38.672,1,25,9000,3,중개거래,
1332,더리치빌2,전세,20.66,1,8,4800,7,중개거래,
1332,더리치빌2,전세,38.672,2,10,8900,10,중개거래,
1332,더리치빌2,전세,33.38,2,10,7800,5,중개거래,
1332,더리치빌2,전세,24.02,2,10,5700,5,중개거래,
1332,더리치빌2,전세,20.66,2,10,4700,3,중개거래,
1332,더리치빌2,전세,33.38,2,14,7600,8,중개거래,
1332,더리치빌2,전세,24.02,2,15,5700,9,중개거래,
1332,더리치빌2,전세,20.66,2,15,4700,8,중개거래,
1332,더리치빌2,전세,24.02,2,17,5700,8,중개거래,
1332,더리치빌2,전세,24.02,2,18,5700,10,중개거래,
1332,더리치빌2,전세,38.672,2,19,8900,10,중개거래,
1332,더리치빌2,전세,20.66,2,19,4700,10,중개거래,
1332,더리치빌2,전세,20.32,2,23,4800,7,중개거래,
1332,더리치빌2,전세,38.672,2,4,8900,8,중개거래,
1332,더리치빌2,전세,20.66,2,5,4800,4,중개거래,
1332,더리치빌2,전세,24.02,2,8,5700,5,중개거래,
1332,더리치빌2,전세,33.38,2,9,7800,5,중개거래,
1332,더리치빌2,전세,38.672,3,1,8900,5,중개거래,
1332,더리치빌2,전세,24.02,3,12,5800,4,중개거래,
1332,더리치빌2,전세,33.38,3,14,8000,8,중개거래,
1332,더리치빌2,전세,38.672,3,22,9000,6,중개거래,
1332,더리치빌2,전세,33.38,3,22,8000,10,중개거래,
1332,더리치빌2,전세,33.38,3,30,8000,7,직거래,
1332,더리치빌2,전세,33.38,3,5,8000,6,중개거래,
1332,더리치빌2,전세,38.672,4,19,9000,3,중개거래,
1332,더리치빌2,전세,33.38,4,2,8000,9,중개거래,
1332,더리치빌2,전세,33.38,4,5,8000,7,중개거래,
1332,더리치빌2,전세,24.02,4,8,5800,10,중개거래,
1332,더리치빌2,전세,24.02,5,11,5800,5,중개거래,
1332,더리치빌2,전세,24.02,5,17,5800,6,중개거래,
1332,더리치빌2,전세,24.02,5,18,5800,4,중개거래,
1332,더리치빌2,전세,24.02,5,30,5800,8,중개거래,
1332,더리치빌2,전세,20.32,5,31,4800,8,중개거래,
1332,더리치빌2,전세,33.38,5,4,8000,5,중개거래,
1332,더리치빌2,전세,20.66,5,6,4800,5,중개거래,
1332,더리치빌2,전세,20.66,5,6,4800,3,중개거래,
1332,더리치빌2,전세,20.32,6,11,4700,3,중개거래,
1332,더리치빌2,전세,24.02,6,18,5800,10,중개거래,
1332,더리치빌2,전세,24.02,6,27,5800,7,직거래,
1332,더리치빌2,전세,24.02,6,27,5700,7,직거래,
1332,더리치빌2,전세,38.672,6,3,8900,8,중개거래,
1332,더리치빌2,전세,24.02,6,30,5700,5,중개거래,
1332,더리치빌2,전세,33.38,6,9,8000,10,중개거래,
1332,더리치빌2,전세,24.02,6,9,5800,6,중개거래,
